episode,timestep,reward
1377,1710000,169.6858
1379,1713000,218.9901
1381,1716000,229.2746
1383,1719000,219.6167
1385,1722000,224.0949
1387,1725000,173.7001
1390,1728000,149.1476
1392,1731000,223.9083
1394,1734000,217.1769
1396,1737000,231.9049
1398,1740000,218.6941
1400,1743000,88.1677
1402,1746000,221.0176
1404,1749000,228.0459
1406,1752000,234.9504
1408,1755000,243.8312
1410,1758000,235.2134
1412,1761000,236.6692
1414,1764000,245.3713
1417,1767000,179.5425
1419,1770000,235.142
1421,1773000,98.591
1424,1776000,194.8588
1426,1779000,133.6132
1428,1782000,238.4949
1430,1785000,221.6694
1432,1788000,233.5656
1435,1791000,145.0786
1437,1794000,219.6278
1439,1797000,137.9066
1441,1800000,234.4692
1443,1803000,246.944
1446,1806000,140.1872
1448,1809000,219.2149
1450,1812000,237.1914
1452,1815000,236.9306
1454,1818000,124.9903
1456,1821000,244.2918
1458,1824000,235.8341
1460,1827000,231.575
1462,1830000,239.6758
1464,1833000,176.7224
1466,1836000,235.7091
1469,1839000,139.1928
1471,1842000,232.5408
1473,1845000,241.8613
1475,1848000,244.7812
1477,1851000,174.9032
1479,1854000,240.0659
1481,1857000,239.6444
1483,1860000,238.7492
1485,1863000,242.1817
1487,1866000,224.8197
1489,1869000,240.4387
1491,1872000,222.6549
1493,1875000,227.7697
1496,1878000,165.1671
1498,1881000,244.4195
1500,1884000,240.5752
1502,1887000,247.1555
1504,1890000,228.6371
1506,1893000,95.5864
1508,1896000,243.4168
1510,1899000,243.5753
1512,1902000,237.376
1515,1905000,143.383
1517,1908000,225.0989
1520,1911000,104.4462
1522,1914000,247.3299
1524,1917000,164.6738
1526,1920000,254.5125
1528,1923000,246.679
1531,1926000,156.0966
1533,1929000,238.9946
1535,1932000,257.8464
1537,1935000,234.3759
1539,1938000,237.7603
1541,1941000,170.161
1544,1944000,103.1576
1546,1947000,250.2657
1549,1950000,19.0508
1551,1953000,236.5978
1553,1956000,244.8364
1555,1959000,236.6815
1558,1962000,189.0147
1560,1965000,250.6535
1562,1968000,243.0812
1564,1971000,247.0818
1566,1974000,244.8043
1568,1977000,243.6103
1570,1980000,249.6724
1572,1983000,249.7536
1574,1986000,250.257
1576,1989000,132.5257
1578,1992000,161.5295
1581,1995000,148.2406
1583,1998000,237.2373
1585,2001000,239.5836
1587,2004000,260.6565
1589,2007000,256.69
1591,2010000,258.9111
1593,2013000,260.0501
1595,2016000,242.3141
1597,2019000,252.1517
1599,2022000,258.1347
1601,2025000,259.034
1603,2028000,260.444
1606,2031000,127.3081
1608,2034000,250.1074
1610,2037000,252.7526
1612,2040000,262.7271
1614,2043000,255.7529
1616,2046000,261.6882
1618,2049000,261.5419
1620,2052000,259.9904
1622,2055000,257.0295
1624,2058000,194.9743
1626,2061000,253.7075
1628,2064000,264.68
1631,2067000,93.2658
1633,2070000,253.248
1635,2073000,254.2453
1637,2076000,259.0765
1639,2079000,253.9139
1641,2082000,258.4053
1643,2085000,257.2574
1646,2088000,151.2595
1648,2091000,255.7107
1650,2094000,264.9861
1652,2097000,270.132
1655,2100000,71.9489
1657,2103000,146.4083
1659,2106000,186.5569
1662,2109000,169.7793
1665,2112000,150.873
1667,2115000,255.6806
1669,2118000,263.6048
1671,2121000,145.1893
1673,2124000,185.8507
1675,2127000,260.4692
1678,2130000,177.3701
1680,2133000,260.3959
1682,2136000,243.502
1684,2139000,260.5036
1686,2142000,262.4049
1688,2145000,188.4078
1691,2148000,177.2074
1693,2151000,250.4783
1695,2154000,253.9874
1697,2157000,270.4381
1699,2160000,258.7207
1701,2163000,129.1938
1704,2166000,99.3853
1706,2169000,262.0422
1708,2172000,255.4769
1710,2175000,263.2856
1712,2178000,251.8149
1715,2181000,169.4833
1718,2184000,63.2209
1720,2187000,266.2753
1722,2190000,264.5695
1724,2193000,185.9451
1726,2196000,263.9007
1728,2199000,258.4697
1730,2202000,256.33
1732,2205000,256.2653
1734,2208000,256.7614
1736,2211000,272.0915
1738,2214000,263.1626
1740,2217000,255.8962
1742,2220000,259.6968
1744,2223000,266.0421
1746,2226000,267.2971
1748,2229000,266.5731
1750,2232000,263.553
1753,2235000,173.9021
1756,2238000,92.095
1758,2241000,271.5249
1760,2244000,266.1619
1762,2247000,270.8602
1764,2250000,267.2741
1766,2253000,278.2462
1770,2256000,122.3999
1772,2259000,277.4969
1774,2262000,277.474
1777,2265000,105.6321
1779,2268000,276.4687
1781,2271000,272.7572
1783,2274000,275.5117
1785,2277000,173.1674
1787,2280000,272.4043
1789,2283000,277.6816
1791,2286000,276.6809
1793,2289000,277.5436
1795,2292000,277.7639
1797,2295000,197.9595
1799,2298000,277.9438
1801,2301000,268.205
1803,2304000,274.3874
1805,2307000,277.3784
1807,2310000,273.2423
1809,2313000,279.1004
1811,2316000,277.0365
1813,2319000,270.7439
1815,2322000,263.0567
1818,2325000,273.2658
1820,2328000,276.7506
1822,2331000,119.7087
1824,2334000,208.3409
1827,2337000,195.0629
1829,2340000,269.7393
1831,2343000,159.4014
1833,2346000,273.7655
1835,2349000,273.2846
1837,2352000,278.3943
1839,2355000,278.3574
1841,2358000,278.1036
1843,2361000,278.0689
1845,2364000,268.8
1847,2367000,278.1408
1849,2370000,277.091
1851,2373000,279.2232
1853,2376000,278.3311
1856,2379000,185.9647
1858,2382000,278.9432
1860,2385000,274.9442
1863,2388000,147.2042
1865,2391000,277.4994
1867,2394000,268.1256
1869,2397000,272.4846
1871,2400000,271.3668
1873,2403000,273.6324
1876,2406000,58.2392
1878,2409000,128.9204
1880,2412000,275.7918
1882,2415000,271.9981
1884,2418000,269.1927
1887,2421000,276.1668
1889,2424000,272.796
1891,2427000,277.247
1894,2430000,72.6954
1896,2433000,270.8763
1898,2436000,278.1679
1900,2439000,164.8802
1902,2442000,277.2536
1905,2445000,129.2128
1907,2448000,269.4162
1909,2451000,275.2835
1911,2454000,273.0906
1913,2457000,216.3217
1915,2460000,272.8346
1917,2463000,273.7869
1919,2466000,275.4868
1921,2469000,278.9677
1924,2472000,205.0254
1926,2475000,280.9527
1928,2478000,278.1579
1931,2481000,179.0679
1933,2484000,279.8456
1935,2487000,193.1169
1937,2490000,269.9509
1939,2493000,277.7876
1941,2496000,280.8627
1943,2499000,277.3989
1946,2502000,205.8348
1948,2505000,278.1992
1950,2508000,273.8841
1952,2511000,278.2794
1954,2514000,171.3823
1956,2517000,273.7542
1958,2520000,280.1908
1961,2523000,199.011
1963,2526000,276.8466
1965,2529000,218.7832
1967,2532000,268.9643
1969,2535000,280.7278
1971,2538000,184.9227
1974,2541000,217.675
1976,2544000,157.8367
1979,2547000,175.8725
1981,2550000,281.546
1983,2553000,276.4706
1985,2556000,279.1381
1987,2559000,280.1701
1989,2562000,280.6072
1992,2565000,196.2335
1994,2568000,185.8263
1996,2571000,271.5237
1998,2574000,281.6412
2000,2577000,274.2
2002,2580000,282.7326
2004,2583000,278.9208
2006,2586000,276.316
2008,2589000,278.5074
2011,2592000,179.7737
2013,2595000,276.4457
2015,2598000,203.3474
2018,2601000,174.1988
2020,2604000,275.9824
2022,2607000,180.6215
2024,2610000,280.5292
2026,2613000,281.6966
2029,2616000,280.6242
2031,2619000,207.6358
2034,2622000,74.2093
2036,2625000,276.9593
2038,2628000,274.2764
2040,2631000,278.9611
2043,2634000,147.3697
2045,2637000,281.1665
2047,2640000,277.1919
2049,2643000,279.5372
2051,2646000,182.1443
2053,2649000,279.559
2056,2652000,211.8564
2058,2655000,279.6379
2060,2658000,276.2304
2062,2661000,280.098
2065,2664000,157.1721
2067,2667000,274.1491
2069,2670000,275.9061
2071,2673000,276.4716
2073,2676000,282.2326
2075,2679000,279.7094
2077,2682000,273.9447
2079,2685000,282.5166
2081,2688000,208.0932
2083,2691000,280.7551
2085,2694000,279.4738
2087,2697000,268.4324
2090,2700000,193.2726
2092,2703000,281.1555
2094,2706000,279.3975
2096,2709000,270.3966
2098,2712000,278.3203
2101,2715000,177.8784
2103,2718000,279.1709
2105,2721000,182.9988
2107,2724000,278.3919
2109,2727000,277.6236
2111,2730000,278.9435
2113,2733000,275.3952
2115,2736000,280.2462
2118,2739000,143.954
2120,2742000,277.5542
2122,2745000,279.7279
2124,2748000,281.1687
2126,2751000,278.4201
2128,2754000,279.1367
2130,2757000,274.318
2132,2760000,279.0217
2134,2763000,275.7817
2136,2766000,271.4027
2138,2769000,275.7535
2141,2772000,230.0387
2143,2775000,161.7864
2145,2778000,280.1722
2147,2781000,277.2339
2149,2784000,277.7403
2151,2787000,279.8712
2154,2790000,145.661
2157,2793000,217.0515
2159,2796000,281.5567
2161,2799000,278.5181
2163,2802000,187.9177
2165,2805000,281.4983
2167,2808000,282.2171
2170,2811000,186.4747
2172,2814000,283.2695
2174,2817000,281.9439
2176,2820000,281.0049
2178,2823000,279.7515
2180,2826000,280.1624
2182,2829000,279.556
2184,2832000,279.619
2187,2835000,163.8639
2190,2838000,181.7162
2192,2841000,198.5854
2194,2844000,278.8166
2197,2847000,194.2531
2199,2850000,278.9452
2201,2853000,171.7314
2203,2856000,282.4242
2205,2859000,281.4321
2208,2862000,280.1276
2210,2865000,272.431
2212,2868000,279.1804
2214,2871000,276.1033
2216,2874000,278.4999
2218,2877000,278.4493
2220,2880000,222.7118
2222,2883000,279.6414
2224,2886000,276.6775
2226,2889000,276.6431
2228,2892000,278.9944
2230,2895000,278.9729
2232,2898000,278.4393
2234,2901000,277.4752
2236,2904000,278.6742
2238,2907000,277.9205
2240,2910000,279.5563
2242,2913000,280.6807
2245,2916000,172.5408
2247,2919000,275.2432
2249,2922000,278.388
2251,2925000,276.0402
2254,2928000,144.6895
2256,2931000,277.0992
2259,2934000,233.2349
2261,2937000,106.9252
2264,2940000,277.1629
2266,2943000,268.7479
2268,2946000,124.6237
2270,2949000,278.7147
2272,2952000,269.8062
2274,2955000,278.6187
2276,2958000,268.8515
2279,2961000,277.087
2281,2964000,281.4649
2283,2967000,273.8922
2285,2970000,276.6301
2287,2973000,276.6633
2290,2976000,160.2903
2292,2979000,275.5768
2294,2982000,280.3904
2296,2985000,278.0792
2298,2988000,275.9463
2300,2991000,273.4772
2302,2994000,278.6041
2304,2997000,276.7688
2306,3000000,275.2902
